Name,Owner,Stars,Forks,Last Updated,License,URL
ColossalAI,hpcaitech,40577,4477,2025-03-12T07:01:49Z,Apache License 2.0,https://github.com/hpcaitech/ColossalAI
stablediffusion,Stability-AI,40437,5174,2024-10-10T21:28:57Z,MIT License,https://github.com/Stability-AI/stablediffusion
diagrams,mingrammer,40387,2596,2025-03-11T07:40:46Z,MIT License,https://github.com/mingrammer/diagrams
ailearning,apachecn,40303,11516,2024-11-12T16:21:55Z,Other,https://github.com/apachecn/ailearning
sentry,getsentry,40247,4281,2025-03-12T19:38:18Z,Other,https://github.com/getsentry/sentry
nanoGPT,karpathy,40005,6565,2024-12-09T23:53:04Z,MIT License,https://github.com/karpathy/nanoGPT
markitdown,microsoft,39939,1862,2025-03-12T18:45:41Z,MIT License,https://github.com/microsoft/markitdown
black,psf,39908,2556,2025-03-06T02:26:01Z,MIT License,https://github.com/psf/black
llama_index,run-llama,39879,5687,2025-03-12T18:20:15Z,MIT License,https://github.com/run-llama/llama_index
airflow,apache,39131,14783,2025-03-12T19:39:33Z,Apache License 2.0,https://github.com/apache/airflow
cheat.sh,chubin,39077,1808,2025-02-01T13:32:00Z,MIT License,https://github.com/chubin/cheat.sh
bert,google-research,38813,9671,2024-07-23T23:39:41Z,Apache License 2.0,https://github.com/google-research/bert
TTS,coqui-ai,38372,4810,2024-08-16T12:07:14Z,Mozilla Public License 2.0,https://github.com/coqui-ai/TTS
mitmproxy,mitmproxy,38314,4132,2025-03-11T21:23:25Z,MIT License,https://github.com/mitmproxy/mitmproxy
streamlit,streamlit,38107,3308,2025-03-12T19:30:10Z,Apache License 2.0,https://github.com/streamlit/streamlit
FastChat,lm-sys,38088,4655,2025-03-01T06:43:01Z,Apache License 2.0,https://github.com/lm-sys/FastChat
WeChatMsg,LC044,37979,3915,2025-03-11T09:59:23Z,GNU General Public License v3.0,https://github.com/LC044/WeChatMsg
ultralytics,ultralytics,37827,7340,2025-03-12T19:24:46Z,GNU Affero General Public License v3.0,https://github.com/ultralytics/ultralytics
quivr,QuivrHQ,37521,3634,2025-03-12T09:33:14Z,Other,https://github.com/QuivrHQ/quivr
DeepSpeed,deepspeedai,37354,4292,2025-03-12T16:37:04Z,Apache License 2.0,https://github.com/deepspeedai/DeepSpeed
Open-Assistant,LAION-AI,37250,3262,2024-08-17T01:55:35Z,Apache License 2.0,https://github.com/LAION-AI/Open-Assistant
freqtrade,freqtrade,37185,7316,2025-03-11T19:45:41Z,GNU General Public License v3.0,https://github.com/freqtrade/freqtrade
python-cheatsheet,gto76,36961,6583,2025-03-09T23:23:51Z,N/A,https://github.com/gto76/python-cheatsheet
interview_internal_reference,0voice,36830,9462,2024-05-20T12:04:02Z,N/A,https://github.com/0voice/interview_internal_reference
gradio,gradio-app,36759,2788,2025-03-12T19:37:00Z,Apache License 2.0,https://github.com/gradio-app/gradio
OpenBB,OpenBB-finance,36715,3325,2025-03-12T14:22:07Z,Other,https://github.com/OpenBB-finance/OpenBB
GFPGAN,TencentARC,36422,6041,2024-07-26T18:44:02Z,Other,https://github.com/TencentARC/GFPGAN
wtfpython,satwikkansal,36071,2668,2025-03-06T07:35:23Z,Do What The F*ck You Want To Public License,https://github.com/satwikkansal/wtfpython
ray,ray-project,35940,6092,2025-03-12T19:28:59Z,Apache License 2.0,https://github.com/ray-project/ray
MockingBird,babysor,35934,5240,2024-11-15T05:00:29Z,Other,https://github.com/babysor/MockingBird
DragGAN,XingangPan,35880,3450,2024-05-18T17:51:40Z,Other,https://github.com/XingangPan/DragGAN
chatgpt-on-wechat,zhayujie,35624,9013,2025-02-05T04:27:07Z,MIT License,https://github.com/zhayujie/chatgpt-on-wechat
gym,openai,35568,8656,2024-10-11T20:07:05Z,Other,https://github.com/openai/gym
ChatTTS,2noise,35048,3785,2025-02-18T06:24:55Z,GNU Affero General Public License v3.0,https://github.com/2noise/ChatTTS
ccxt,ccxt,35035,7764,2025-03-12T13:10:39Z,MIT License,https://github.com/ccxt/ccxt
cli,httpie,34991,3695,2024-12-17T17:30:35Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/httpie/cli
HanLP,hankcs,34577,10425,2025-01-15T06:09:34Z,Apache License 2.0,https://github.com/hankcs/HanLP
TaskMatrix,chenfei-wu,34523,3300,2024-01-06T02:41:20Z,Other,https://github.com/chenfei-wu/TaskMatrix
unsloth,unslothai,34425,2550,2025-03-12T13:51:25Z,Apache License 2.0,https://github.com/unslothai/unsloth
jieba,fxsjy,33824,6730,2024-08-21T09:23:45Z,MIT License,https://github.com/fxsjy/jieba
shadowsocks,shadowsocks,33609,18524,2024-04-01T09:07:32Z,N/A,https://github.com/shadowsocks/shadowsocks
sqlmap,sqlmapproject,33551,5811,2025-03-12T15:01:24Z,Other,https://github.com/sqlmapproject/sqlmap
pytorch-image-models,huggingface,33462,4865,2025-02-23T05:07:06Z,Apache License 2.0,https://github.com/huggingface/pytorch-image-models
XX-Net,XX-net,33190,7669,2024-12-20T04:54:58Z,N/A,https://github.com/XX-net/XX-Net
crawl4ai,unclecode,33144,2828,2025-03-12T14:41:05Z,Apache License 2.0,https://github.com/unclecode/crawl4ai
poetry,python-poetry,32791,2335,2025-03-10T20:16:51Z,MIT License,https://github.com/python-poetry/poetry
Python,geekcomputers,32696,12442,2025-03-12T18:35:10Z,MIT License,https://github.com/geekcomputers/Python
gpt-pilot,Pythagora-io,32475,3302,2025-03-04T06:26:32Z,Other,https://github.com/Pythagora-io/gpt-pilot
certbot,certbot,32008,3426,2025-03-12T18:03:19Z,Other,https://github.com/certbot/certbot
ControlNet,lllyasviel,31712,2836,2024-02-25T09:49:39Z,Apache License 2.0,https://github.com/lllyasviel/ControlNet
jax,jax-ml,31612,2936,2025-03-12T19:43:06Z,Apache License 2.0,https://github.com/jax-ml/jax
detectron2,facebookresearch,31425,7600,2025-01-14T01:45:38Z,Apache License 2.0,https://github.com/facebookresearch/detectron2
OpenVoice,myshell-ai,31295,3152,2025-01-07T00:02:22Z,MIT License,https://github.com/myshell-ai/OpenVoice
OpenManus,mannaandpoem,31131,4817,2025-03-12T14:25:31Z,MIT License,https://github.com/mannaandpoem/OpenManus
fairseq,facebookresearch,31130,6490,2025-01-09T16:43:36Z,MIT License,https://github.com/facebookresearch/fairseq
spaCy,explosion,31112,4465,2025-02-03T17:32:33Z,MIT License,https://github.com/explosion/spaCy
